Date,Podium,Contestant,J! Attempts,J! Buzzes,J! Buzz%,J! Correct,J! Incorrect,J! Correct%,J! Long Streak,J! DD,J! End Score,DJ! Attempts,DJ! Buzzes,DJ! Buzz%,DJ! Correct,DJ! Incorrect,DJ! Correct%,DJ! Long Streak,DJ! DD1,DJ! DD2,DJ! End Score,FJ! Correct,FJ! Wager,FJ! End Score,J! UR Count,J! UR Value,J! DD Count,J! DD Value,J! Att Possible,J! Buzz Value Possible,DJ! UR Count,DJ! UR Value,DJ! DD Count,DJ! DD Value,DJ! Att Possible,DJ! Buzz Value Possible,Total Attempt,Total Buzz,Total Buzz %,J! Score on Buzz,J! Score/Buzz,J! Score/Attempt,DJ! Score on Buzz,DJ! Score/Buzz,DJ! Score/Attempt,Total Score on Buzz,Total Score/Buzz,Total Score/Attempt,J! Correct on Buzz,J! DDs found,J! DDs/Correct on Buzz,J! DDs/Buzz,J! DDs/Attempt,DJ! Correct on Buzz,DJ! DDs found,DJ! DDs/Correct on Buzz,DJ! DDs/Buzz,DJ! DDs/Attempt
1/12/2022,1,Amy Schneider,23,14,60.87%,13,1,92.86%,4,,7000,23,18,78.26%,17,2,89.47%,8,-4000,,23000,FALSE,12000,11000,0,0,1,800,29,17200,0,0,2,2400,28,33600,46,32,69.57%,7000,500,304.3478261,20000,1111.111111,869.5652174,27000,843.75,586.9565217,13,0,0,0,0,17,1,0.05882352941,0.05555555556,0.04347826087
1/12/2022,2,Emma Shirato Almon,16,5,31.25%,3,2,60.00%,2,,-200,12,1,8.33%,1,0,100.00%,1,,,200,TRUE,20,220,0,0,1,800,29,17200,0,0,2,2400,28,33600,28,6,21.43%,-200,-40,-12.5,400,400,33.33333333,200,33.33333333,7.142857143,3,0,0,0,0,1,0,0,0,0
1/12/2022,3,Ally Bove,15,9,60.00%,9,1,90.00%,2,-1000,3200,14,4,28.57%,4,1,80.00%,2,,-5000,3000,FALSE,2000,1000,0,0,1,800,29,17200,0,0,2,2400,28,33600,29,13,44.83%,4200,466.6666667,280,4800,1200,342.8571429,9000,692.3076923,310.3448276,9,1,0.1111111111,0.1111111111,0.06666666667,4,1,0.25,0.25,0.07142857143
1/13/2022,1,Amy Schneider,22,13,59.09%,14,0,100.00%,6,2000,10400,25,15,60.00%,15,2,88.24%,11,4000,2000,28800,TRUE,4000,32800,0,0,1,800,29,17200,0,0,2,3600,28,32400,47,28,59.57%,8400,646.1538462,381.8181818,12400,826.6666667,496,20800,742.8571429,442.5531915,13,1,0.07692307692,0.07692307692,0.04545454545,13,2,0.1538461538,0.1333333333,0.08
1/13/2022,2,Clark Dawson,17,8,47.06%,7,1,87.50%,3,,2800,15,1,6.67%,1,0,100.00%,1,,,4000,FALSE,5,3995,0,0,1,800,29,17200,0,0,2,3600,28,32400,32,9,28.13%,2800,350,164.7058824,1200,1200,80,4000,444.4444444,125,7,0,0,0,0,1,0,0,0,0
1/13/2022,3,Cory Anotado,17,8,47.06%,5,3,62.50%,2,,1200,15,11,73.33%,10,1,90.91%,3,,,11200,FALSE,0,11200,0,0,1,800,29,17200,0,0,2,3600,28,32400,32,19,59.38%,1200,150,70.58823529,10000,909.0909091,666.6666667,11200,589.4736842,350,5,0,0,0,0,10,0,0,0,0
1/14/2022,1,Amy Schneider,23,14,60.87%,14,1,93.33%,3,2000,9000,20,12,60.00%,14,0,100.00%,6,4000,6000,30200,FALSE,20000,10200,0,0,1,600,29,17400,0,0,2,2400,28,33600,43,26,60.47%,7000,500,304.3478261,11200,933.3333333,560,18200,700,423.255814,13,1,0.07692307692,0.07142857143,0.04347826087,12,2,0.1666666667,0.1666666667,0.1
1/14/2022,2,Luis Soto,20,10,50.00%,5,5,50.00%,3,,600,11,7,63.64%,5,2,71.43%,2,,,3000,FALSE,2000,1000,0,0,1,600,29,17400,0,0,2,2400,28,33600,31,17,54.84%,600,60,30,2400,342.8571429,218.1818182,3000,176.4705882,96.77419355,5,0,0,0,0,5,0,0,0,0
1/14/2022,3,Rachel Ostrow,19,9,47.37%,8,1,88.89%,2,,3000,15,6,40.00%,4,2,66.67%,4,,,3800,FALSE,2201,1599,0,0,1,600,29,17400,0,0,2,2400,28,33600,34,15,44.12%,3000,333.3333333,157.8947368,800,133.3333333,53.33333333,3800,253.3333333,111.7647059,8,0,0,0,0,4,0,0,0,0
1/17/2022,1,Amy Schneider,22,15,68.18%,14,2,87.50%,12,-1800,6400,24,19,79.17%,19,1,95.00%,4,4000,,26800,TRUE,10000,36800,0,0,1,600,29,17400,0,0,2,2800,28,33200,46,34,73.91%,8200,546.6666667,372.7272727,16400,863.1578947,683.3333333,24600,723.5294118,534.7826087,14,1,0.07142857143,0.06666666667,0.04545454545,18,1,0.05555555556,0.05263157895,0.04166666667
1/17/2022,2,Frances Garrison,14,5,35.71%,3,2,60.00%,1,,1000,19,7,36.84%,6,1,85.71%,2,,,7800,TRUE,5000,12800,0,0,1,600,29,17400,0,0,2,2800,28,33200,33,12,36.36%,1000,200,71.42857143,6800,971.4285714,357.8947368,7800,650,236.3636364,3,0,0,0,0,6,0,0,0,0
1/17/2022,3,Jorge Quinones,14,6,42.86%,5,1,83.33%,2,,1600,11,2,18.18%,2,1,66.67%,2,,-4000,400,TRUE,400,800,0,0,1,600,29,17400,0,0,2,2800,28,33200,25,8,32.00%,1600,266.6666667,114.2857143,2800,1400,254.5454545,4400,550,176,5,0,0,0,0,2,1,0.5,0.5,0.09090909091
1/18/2022,1,Amy Schneider,26,20,76.92%,20,1,95.24%,5,-4000,7400,22,19,86.36%,20,1,95.24%,14,2000,6000,35400,FALSE,20000,15400,0,0,1,800,29,17200,0,0,2,2800,28,33200,48,39,81.25%,11400,570,438.4615385,20000,1052.631579,909.0909091,31400,805.1282051,654.1666667,20,1,0.05,0.05,0.03846153846,18,2,0.1111111111,0.1052631579,0.09090909091
1/18/2022,2,Dan Tobin,21,4,19.05%,3,1,75.00%,1,,1000,13,4,30.77%,3,1,75.00%,1,,,5000,TRUE,500,5500,0,0,1,800,29,17200,0,0,2,2800,28,33200,34,8,23.53%,1000,250,47.61904762,4000,1000,307.6923077,5000,625,147.0588235,3,0,0,0,0,3,0,0,0,0
1/18/2022,3,Taryn Agati,22,5,22.73%,5,0,100.00%,1,,2800,20,6,30.00%,3,3,50.00%,2,,,400,FALSE,400,0,0,0,1,800,29,17200,0,0,2,2800,28,33200,42,11,26.19%,2800,560,127.2727273,-2400,-400,-120,400,36.36363636,9.523809524,5,0,0,0,0,3,0,0,0,0
1/19/2022,1,Amy Schneider,22,16,72.73%,15,1,93.75%,4,,9000,21,17,80.95%,19,0,100.00%,7,3000,2000,32800,FALSE,15000,17800,0,0,1,600,29,17400,0,0,2,3200,28,32800,43,33,76.74%,9000,562.5,409.0909091,18800,1105.882353,895.2380952,27800,842.4242424,646.5116279,15,0,0,0,0,17,2,0.1176470588,0.1176470588,0.09523809524
1/19/2022,2,Ashley Crow,12,5,41.67%,4,1,80.00%,2,,800,16,5,31.25%,5,0,100.00%,1,,,6800,TRUE,5601,12401,0,0,1,600,29,17400,0,0,2,3200,28,32800,28,10,35.71%,800,160,66.66666667,6000,1200,375,6800,680,242.8571429,4,0,0,0,0,5,0,0,0,0
1/19/2022,3,Dimitri Apessos,19,10,52.63%,11,0,100.00%,3,200,5400,17,4,23.53%,3,1,75.00%,2,,,6200,TRUE,6000,12200,0,0,1,600,29,17400,0,0,2,3200,28,32800,36,14,38.89%,5200,520,273.6842105,800,200,47.05882353,6000,428.5714286,166.6666667,10,1,0.1,0.1,0.05263157895,3,0,0,0,0
1/20/2022,1,Amy Schneider,20,15,75.00%,16,0,100.00%,5,2000,10800,24,21,87.50%,23,0,100.00%,14,5000,5000,46400,TRUE,25000,71400,0,0,1,1000,29,17000,0,0,2,2000,28,34000,44,36,81.82%,8800,586.6666667,440,25600,1219.047619,1066.666667,34400,955.5555556,781.8181818,15,1,0.06666666667,0.06666666667,0.05,21,2,0.09523809524,0.09523809524,0.08333333333
1/20/2022,2,Patrick Lackey,21,10,47.62%,8,2,80.00%,2,,4200,5,3,60.00%,1,2,33.33%,1,,,3000,TRUE,2000,5000,0,0,1,1000,29,17000,0,0,2,2000,28,34000,26,13,50.00%,4200,420,200,-1200,-400,-240,3000,230.7692308,115.3846154,8,0,0,0,0,1,0,0,0,0
1/20/2022,3,Brittany Love,17,8,47.06%,5,3,62.50%,3,,-400,8,4,50.00%,1,3,25.00%,2,,,-2800,,,-2800,0,0,1,1000,29,17000,0,0,2,2000,28,34000,25,12,48.00%,-400,-50,-23.52941176,-2400,-600,-300,-2800,-233.3333333,-112,5,0,0,0,0,1,0,0,0,0
1/21/2022,1,Amy Schneider,24,18,75.00%,16,2,88.89%,5,,8400,21,17,80.95%,19,0,100.00%,12,2000,4000,34000,TRUE,20000,54000,0,0,1,800,29,17200,0,0,2,2800,28,33200,45,35,77.78%,8400,466.6666667,350,19600,1152.941176,933.3333333,28000,800,622.2222222,16,0,0,0,0,17,2,0.1176470588,0.1176470588,0.09523809524
1/21/2022,2,Avinash Rejendra,10,5,50.00%,6,0,100.00%,2,1000,3800,10,5,50.00%,4,1,80.00%,3,,,5400,FALSE,3001,2399,0,0,1,800,29,17200,0,0,2,2800,28,33200,20,10,50.00%,2800,560,280,1600,320,160,4400,440,220,5,1,0.2,0.2,0.1,4,0,0,0,0
1/21/2022,3,Koré Carey,18,6,33.33%,6,0,100.00%,3,,3400,17,1,5.88%,1,0,100.00%,1,,,4200,FALSE,4000,200,0,0,1,800,29,17200,0,0,2,2800,28,33200,35,7,20.00%,3400,566.6666667,188.8888889,800,800,47.05882353,4200,600,120,6,0,0,0,0,1,0,0,0,0
1/24/2022,1,Amy Schneider,24,16,66.67%,15,1,93.75%,3,,6600,24,20,83.33%,21,1,95.45%,9,4000,5000,37600,FALSE,25000,12600,0,0,1,800,29,17200,0,0,2,3200,28,32800,48,36,75.00%,6600,412.5,275,22000,1100,916.6666667,28600,794.4444444,595.8333333,15,0,0,0,0,19,2,0.1052631579,0.1,0.08333333333
1/24/2022,2,Erin O'Leary,18,9,50.00%,6,4,60.00%,3,-1200,-800,11,2,18.18%,2,0,100.00%,1,,,800,FALSE,799,1,0,0,1,800,29,17200,0,0,2,3200,28,32800,29,11,37.93%,400,44.44444444,22.22222222,1600,800,145.4545455,2000,181.8181818,68.96551724,6,1,0.1666666667,0.1111111111,0.05555555556,2,0,0,0,0
1/24/2022,3,Joanne Mercer,11,6,54.55%,5,1,83.33%,3,,3000,7,4,57.14%,3,1,75.00%,2,,,4200,TRUE,2000,6200,0,0,1,800,29,17200,0,0,2,3200,28,32800,18,10,55.56%,3000,500,272.7272727,1200,300,171.4285714,4200,420,233.3333333,5,0,0,0,0,3,0,0,0,0
1/25/2022,1,Amy Schneider,23,19,82.61%,20,0,100.00%,9,2400,14600,22,15,68.18%,16,0,100.00%,5,5000,,38000,TRUE,25000,63000,0,0,1,600,29,17400,0,0,2,1600,28,34400,45,34,75.56%,12200,642.1052632,530.4347826,18400,1226.666667,836.3636364,30600,900,680,19,1,0.05263157895,0.05263157895,0.04347826087,15,1,0.06666666667,0.06666666667,0.04545454545
1/25/2022,2,John Williams,10,5,50.00%,5,0,100.00%,2,,2200,9,5,55.56%,4,2,66.67%,3,,-1500,1500,TRUE,1499,2999,0,0,1,600,29,17400,0,0,2,1600,28,34400,19,10,52.63%,2200,440,220,800,160,88.88888889,3000,300,157.8947368,5,0,0,0,0,4,1,0.25,0.2,0.1111111111
1/25/2022,3,Maria Krasinski,15,5,33.33%,4,1,80.00%,1,,1400,11,6,54.55%,4,2,66.67%,3,,,2200,TRUE,801,3001,0,0,1,600,29,17400,0,0,2,1600,28,34400,26,11,42.31%,1400,280,93.33333333,800,133.3333333,72.72727273,2200,200,84.61538462,4,0,0,0,0,4,0,0,0,0
1/26/2022,1,Amy Schneider,27,15,55.56%,14,1,93.33%,5,,7200,19,13,68.42%,14,0,100.00%,7,4000,,27600,FALSE,8000,19600,0,0,1,1000,29,17000,0,0,2,3200,28,32800,46,28,60.87%,7200,480,266.6666667,16400,1261.538462,863.1578947,23600,842.8571429,513.0434783,14,0,0,0,0,13,1,0.07692307692,0.07692307692,0.05263157895
1/26/2022,2,Janice Hawthorne Timm,18,5,27.78%,5,0,100.00%,1,,2000,16,5,31.25%,3,2,60.00%,2,,,3200,FALSE,500,2700,0,0,1,1000,29,17000,0,0,2,3200,28,32800,34,10,29.41%,2000,400,111.1111111,1200,240,75,3200,320,94.11764706,5,0,0,0,0,3,0,0,0,0
1/26/2022,3,Rhone Talsma,19,8,42.11%,8,1,88.89%,3,-1400,3400,17,8,47.06%,8,1,88.89%,3,,7800,17600,TRUE,12000,29600,0,0,1,1000,29,17000,0,0,2,3200,28,32800,36,16,44.44%,4800,600,252.6315789,6400,800,376.4705882,11200,700,311.1111111,8,1,0.125,0.125,0.05263157895,7,1,0.1428571429,0.125,0.05882352941
1/27/2022,1,Rhone Talsma,19,11,57.89%,8,3,72.73%,3,,1200,19,9,47.37%,8,1,88.89%,3,,,9200,FALSE,9200,0,1,1000,1,800,28,16200,0,0,2,2800,28,33200,38,20,52.63%,1200,109.0909091,63.15789474,8000,888.8888889,421.0526316,9200,460,242.1052632,8,0,0,0,0,8,0,0,0,0
1/27/2022,2,Chris Canahui,10,5,50.00%,4,1,80.00%,3,,800,13,6,46.15%,6,0,100.00%,2,,,9200,FALSE,9199,1,1,1000,1,800,28,16200,0,0,2,2800,28,33200,23,11,47.83%,800,160,80,8400,1400,646.1538462,9200,836.3636364,400,4,0,0,0,0,6,0,0,0,0
1/27/2022,3,Carrie Cadwallader,23,13,56.52%,10,4,71.43%,4,-1000,4200,20,12,60.00%,11,3,78.57%,6,2000,-2000,13000,FALSE,5500,7500,1,1000,1,800,28,16200,0,0,2,2800,28,33200,43,25,58.14%,5200,400,226.0869565,8800,733.3333333,440,14000,560,325.5813953,10,1,0.1,0.07692307692,0.04347826087,10,2,0.2,0.1666666667,0.1
1/28/2022,1,Carrie Cadwallader,18,13,72.22%,12,2,85.71%,6,1000,6600,15,9,60.00%,6,4,60.00%,2,,-4000,5000,TRUE,4500,9500,1,1000,1,400,28,16600,1,2000,2,3200,27,30800,33,22,66.67%,5600,430.7692308,311.1111111,2400,266.6666667,160,8000,363.6363636,242.4242424,11,1,0.09090909091,0.07692307692,0.05555555556,6,1,0.1666666667,0.1111111111,0.06666666667
1/28/2022,2,Kirsten Greenwell,15,9,60.00%,7,2,77.78%,2,,1600,14,8,57.14%,7,1,87.50%,4,,,6800,FALSE,6800,0,1,1000,1,400,28,16600,1,2000,2,3200,27,30800,29,17,58.62%,1600,177.7777778,106.6666667,5200,650,371.4285714,6800,400,234.4827586,7,0,0,0,0,7,0,0,0,0
1/28/2022,3,Jay Foster,13,4,30.77%,3,1,75.00%,4,,600,13,11,84.62%,11,1,91.67%,5,3000,,13600,TRUE,0,13600,1,1000,1,400,28,16600,1,2000,2,3200,27,30800,26,15,57.69%,600,150,46.15384615,10000,909.0909091,769.2307692,10600,706.6666667,407.6923077,3,0,0,0,0,10,1,0.1,0.09090909091,0.07692307692